picture_url,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,room_type_Entire home/apt,room_type_Other,room_type_Private room,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,distance_to_center,beds_per_bedroom,amenity_count,image_downloaded,mos
https://a0.muscache.com/pictures/miso/Hosting-51690299/original/19666b3b-c807-4ee1-b525-5a52be9bd4c8.jpeg,1,1.0,1.0,2.0,69.0,30,365,27,362,False,False,True,False,False,True,False,False,11.404453830103927,2.0,47,True,6.481058549135923
https://a0.muscache.com/pictures/c66a08c8-9cd4-4d8e-8a20-ded3a4b1e646.jpg,6,1.0,1.0,3.0,180.0,31,180,16,256,True,False,False,False,True,False,False,False,6.612238706012266,3.0,55,True,6.994141070172191
https://a0.muscache.com/pictures/111197276/c8d83cc3_original.jpg,5,1.0,1.0,4.0,130.0,30,1125,0,0,True,False,False,False,False,True,False,False,12.15594937226365,4.0,17,True,6.65259724855423
https://a0.muscache.com/pictures/b89a036d-df24-4385-af91-f1fd20e7444e.jpg,1,1.0,1.0,1.0,45.0,30,200,0,46,False,False,True,False,False,False,True,False,16.802415804898455,1.0,34,True,6.195705704391003
https://a0.muscache.com/pictures/79154652/07b384a9_original.jpg,3,1.0,1.0,1.0,140.0,30,1125,0,0,True,False,False,False,True,False,False,False,4.3153051129788365,1.0,10,True,6.589405054226518
https://a0.muscache.com/pictures/a8f8fadf-638a-40b2-b88e-6f96c81557f8.jpg,1,1.0,1.0,1.0,65.0,30,1125,0,0,False,False,True,True,False,False,False,False,17.00811107759695,1.0,12,True,7.372335960157216
https://a0.muscache.com/pictures/miso/Hosting-940458538795223834/original/a561413f-5361-4c87-beec-6cebb9de6703.jpeg,2,1.0,1.0,1.0,233.0,30,1125,1,336,True,False,False,False,True,False,False,False,5.196085949453285,1.0,34,True,6.600065036676824
https://a0.muscache.com/pictures/airflow/Hosting-10425572/original/a4791e39-cc2e-4eb3-8108-53e14cca5747.jpg,2,1.0,2.0,1.0,80.0,30,1125,21,30,False,False,True,False,True,False,False,False,3.8700115596399254,0.5,32,True,6.787316979840398
https://a0.muscache.com/pictures/hosting/Hosting-45976871/original/a2d417c5-322d-421a-a92e-51374b204abb.jpeg,3,1.0,2.0,2.0,225.0,30,1125,28,171,True,False,False,False,False,True,False,False,9.78146858499776,1.0,58,True,6.111556950956583
https://a0.muscache.com/pictures/31d906f2-b874-4867-a13b-8296580d2c07.jpg,4,2.0,4.0,4.0,550.0,2,60,0,0,True,False,False,False,False,True,False,False,13.337254329170847,1.0,30,True,6.189768621698022
